fips_code,2023_unemployment_rate,2024_unemployment_rate
19039,2.9,2.9
19041,2.8,3.3
19043,3.9,3.9
19045,3.7,4.0
19047,4.4,4.2
19049,2.3,2.7
19051,2.4,2.8
19053,2.9,3.0
19055,2.8,2.9
19057,4.1,4.0
19059,3.1,3.2
19061,3.0,3.4
19063,3.5,3.5
19065,3.3,3.4
19067,3.5,3.6
19069,3.2,3.3
19071,2.6,3.4
19073,2.5,2.8
19075,2.6,3.0
19077,2.9,3.0
19079,2.4,2.5
19081,2.7,2.4
19083,2.8,2.9
19085,2.6,2.6
19087,3.3,3.0
19089,3.3,3.3
19091,2.8,2.9
19093,2.3,2.7
19095,3.2,3.3
19097,3.6,3.9
19099,3.0,3.2
19101,3.0,3.5
19103,2.4,2.4
19105,3.5,3.7
19107,3.3,3.2
19109,2.6,2.5
19111,4.1,3.7
19113,3.3,3.4
19115,3.3,3.2
19117,2.8,3.0
19119,2.3,2.4
19121,3.0,3.0
19123,2.5,2.5
19125,2.3,2.5
19127,5.8,5.8
19129,2.7,3.4
19131,2.3,2.4
19133,2.7,2.8
19135,2.9,3.3
19137,2.5,2.4
19139,3.1,3.6
19141,2.6,2.4
19143,2.0,2.0
19145,2.2,2.6
19147,2.4,2.5
19149,2.2,2.4
19151,2.6,2.9
19153,2.9,3.2
19155,3.1,3.2
19157,3.0,2.8
19159,2.3,2.6
19161,2.5,3.1
19163,3.4,3.8
19165,2.6,2.6
19167,2.0,2.1
19169,2.4,2.5
19171,4.3,4.5
19173,2.2,2.1
19175,3.0,3.1
19177,3.3,3.1
19179,3.5,3.8
19181,2.7,2.8
19183,2.6,2.5
19185,2.6,2.6
19187,3.3,3.3
19189,3.3,2.5
19191,3.0,2.9
19193,3.0,3.1
19195,2.7,2.6
19197,2.8,2.5
20001,3.2,3.9
20003,2.8,3.4
20005,3.1,3.8
20007,2.8,3.0
20009,2.9,3.5
20011,3.8,5.3
20013,3.6,4.1
20015,2.9,3.6
20017,2.9,3.8
20019,3.4,4.1
20021,3.1,3.5
20023,2.7,3.2
20025,2.4,2.7
20027,2.6,3.4
20029,2.5,3.0
20031,3.4,4.0
20033,2.7,3.0
20035,3.4,4.3
20037,3.0,3.8
20039,2.5,3.0
20041,3.0,3.8
20043,2.9,3.8
20045,2.6,3.2
20047,2.6,3.2
20049,3.3,4.2
20051,2.2,2.8
20053,2.5,3.8
20055,2.4,2.8
20057,2.4,2.8
20059,2.9,3.8
20061,3.7,4.3
20063,3.0,3.3
20065,2.7,3.6
20067,2.8,3.5
20069,2.2,2.5
20071,2.4,2.9
20073,3.3,3.6
20075,2.3,2.7
20077,2.9,3.6
20079,3.1,4.2
20081,2.6,3.0
20083,2.5,3.0
20085,2.7,3.3
20087,2.8,3.5
20089,3.2,4.0
20091,2.7,3.2
20093,2.6,3.0
20095,2.5,2.7
20097,2.7,3.1
20099,3.2,3.7
20101,3.0,3.5
20103,3.0,3.7
20105,2.7,4.1
20107,4.0,4.9
20109,2.1,2.7
20111,2.6,3.3
20113,2.3,2.8
20115,2.8,3.7
20117,2.5,3.1
20119,2.5,2.8
20121,2.8,3.4
20123,2.6,3.7
20125,3.3,3.9
20127,2.7,3.0
20129,2.8,3.5
20131,2.0,2.5
20133,3.0,3.6
20135,2.2,2.7
20137,2.4,2.9
20139,2.9,3.7
20141,2.5,3.4
20143,2.5,3.1
20145,2.6,3.0
20147,2.4,2.9
20149,2.5,3.0
20151,2.5,3.1
20153,2.3,2.6
20155,3.1,3.7
20157,2.3,2.8
20159,2.9,3.3
20161,2.6,3.1
20163,2.8,3.4
20165,2.4,3.6
20167,2.7,4.0
20169,2.7,3.3
20171,2.5,3.0
20173,3.1,3.9
20175,2.5,3.0
20177,3.1,3.7
20179,2.2,2.4
20181,2.4,3.2
20183,2.4,3.0
20185,2.4,2.9
20187,2.6,3.0
20189,2.5,3.8
20191,3.0,3.9
20193,2.0,2.5
20195,2.9,3.5
20197,3.1,3.7
20199,2.9,3.4
20201,2.7,3.1
20203,2.4,2.8
20205,3.2,4.1
20207,4.2,4.9
20209,3.6,4.2
21001,4.6,5.0
21003,3.9,4.5
21005,3.9,4.6
21007,5.0,5.1
21009,4.6,5.3
21011,5.4,6.6
21013,5.9,6.5
21015,3.7,4.2
21017,3.6,4.1
21019,5.3,5.8
21021,4.4,4.9
21023,4.8,5.8
21025,6.2,7.2
21027,5.0,5.4
21029,4.2,4.5
21031,4.7,5.4
21033,3.8,4.3
21035,4.5,5.2
21037,3.8,4.4
21039,4.4,5.0
21041,4.2,4.8
21043,7.5,7.8
21045,4.6,5.2
21047,5.5,5.8
21049,3.9,4.6
21051,5.7,6.7
21053,4.8,5.5
21055,4.6,5.2
21057,4.3,4.9
21059,4.3,4.7
21061,5.0,5.6
21063,8.3,8.5
21065,5.3,6.0
21067,3.5,4.0
21069,4.9,5.8
21071,5.8,6.6
21073,3.7,4.3
21075,4.5,5.0
21077,4.0,4.6
21079,4.0,4.6
21081,4.1,4.7
21083,4.1,4.3
21085,4.8,5.5
21087,4.7,5.5
21089,6.4,6.6
21091,4.8,5.3
21093,4.3,4.9
21095,5.8,6.7
21097,3.8,4.3
21099,4.5,5.0
21101,4.2,4.8
21103,4.1,4.6
21105,4.3,4.8
21107,4.4,5.4
21109,6.0,7.3
21111,4.0,4.6
21113,3.7,4.3
21115,6.1,6.9
21117,3.7,4.3
21119,6.2,7.1
21121,5.5,6.7
21123,4.1,4.6
21125,5.0,5.8
21127,6.5,7.7
21129,5.1,5.4
21131,5.0,5.8
21133,5.0,5.8
21135,8.4,8.3
21137,5.0,5.5
21139,4.8,5.5
21141,4.3,4.9
21143,4.7,5.4
21145,4.2,4.8
21147,5.5,6.0
21149,4.7,5.4
21151,4.2,4.8
21153,8.0,8.5
21155,4.5,5.3
21157,4.6,5.2
21159,7.1,7.9
21161,5.0,6.0
21163,4.1,4.6
21165,6.0,7.0
21167,4.1,4.6
21169,4.5,5.0
21171,4.5,5.1
21173,4.6,5.4
21175,5.7,6.3
21177,5.2,5.9
21179,3.9,4.5
21181,4.5,4.6
21183,5.3,6.0
21185,3.5,4.0
21187,4.1,4.8
21189,5.1,5.8
21191,4.1,4.9
21193,4.5,5.2
21195,5.6,6.3
21197,4.3,4.9
21199,4.7,5.3
21201,5.5,6.3
21203,4.9,5.3
21205,5.0,5.9
21207,4.5,5.1
21209,3.5,4.1
21211,3.6,4.0
