fips_code,state,county,population,poverty_pct,bachelors_pct,median_income,2023_violent_crime,2023_property_crime,2024_violent_crime,2024_property_crime,metro_status,_merge
17089,Illinois,Kane,516097,8.3,37.5,100678,,,,,,left_only
17095,Illinois,Knox,49294,15.9,20.3,53291,,,,,,left_only
17097,Illinois,Lake,711885,8.1,47.0,108917,,,,,,left_only
17099,Illinois,LaSalle,109049,13.5,18.7,72281,,,,,,left_only
17103,Illinois,Lee,34058,11.7,19.4,68459,,,,,,left_only
17109,Illinois,McDonough,27102,19.9,31.8,50434,,,,,,left_only
17115,Illinois,Macon,102591,14.6,24.1,62449,,,,,,left_only
17127,Illinois,Massac,13958,14.9,16.3,62584,,,,,,left_only
17129,Illinois,Menard,12169,9.8,26.5,81334,,,,,,left_only
17131,Illinois,Mercer,15619,7.9,18.9,71710,,,,,,left_only
17141,Illinois,Ogle,51536,8.9,24.0,79244,,,,,,left_only
17151,Illinois,Pope,3757,14.3,16.8,62500,,,,,,left_only
17159,Illinois,Richland,15675,11.9,18.9,60404,,,,,,left_only
17169,Illinois,Schuyler,6826,19.3,18.9,66059,,,,,,left_only
17175,Illinois,Stark,5324,12.0,19.3,62284,,,,,,left_only
17181,Illinois,Union,16972,19.4,20.9,56420,,,,,,left_only
17185,Illinois,Wabash,11199,14.1,18.7,53650,,,,,,left_only
17189,Illinois,Washington,13682,7.8,24.4,75652,,,,,,left_only
17199,Illinois,Williamson,66902,14.3,27.5,65521,,,,,,left_only
17203,Illinois,Woodford,38348,7.6,36.1,85629,,,,,,left_only
18001,Indiana,Adams,35995,12.4,15.2,63128,,,,,,left_only
18007,Indiana,Benton,8708,12.1,18.8,61811,,,,,,left_only
18009,Indiana,Blackford,12007,17.5,13.5,47560,,,,,,left_only
18011,Indiana,Boone,72827,5.1,50.5,104865,,,,,,left_only
18013,Indiana,Brown,15543,8.6,26.0,72644,,,,,,left_only
18015,Indiana,Carroll,20443,8.4,15.5,64003,,,,,,left_only
18017,Indiana,Cass,37703,12.7,15.6,56525,,,,,,left_only
18021,Indiana,Clay,26431,10.7,17.0,67676,,,,,,left_only
18025,Indiana,Crawford,10494,23.8,11.1,48993,,,,,,left_only
18027,Indiana,Daviess,33442,10.4,15.1,68561,,,,,,left_only
18029,Indiana,Dearborn,50828,8.1,26.0,82693,,,,,,left_only
18031,Indiana,Decatur,26411,9.3,20.1,74228,,,,,,left_only
18037,Indiana,Dubois,43563,9.5,24.3,71918,,,,,,left_only
18041,Indiana,Fayette,23390,16.7,16.4,56659,,,,,,left_only
18043,Indiana,Floyd,80512,10.0,31.3,78179,,,,,,left_only
18045,Indiana,Fountain,16546,12.4,13.7,62526,,,,,,left_only
18049,Indiana,Fulton,20411,12.6,16.2,62878,,,,,,left_only
18051,Indiana,Gibson,32986,10.2,19.0,67763,,,,,,left_only
18055,Indiana,Greene,30954,13.3,14.6,59753,,,,,,left_only
18065,Indiana,Henry,48896,13.0,16.7,60144,,,,,,left_only
18069,Indiana,Huntington,36757,10.1,23.1,62734,,,,,,left_only
18073,Indiana,Jasper,33198,6.9,18.1,79634,,,,,,left_only
18075,Indiana,Jay,20281,13.2,12.7,54114,,,,,,left_only
18077,Indiana,Jefferson,33074,11.2,18.1,59987,,,,,,left_only
18087,Indiana,LaGrange,40596,5.7,11.1,83741,,,,,,left_only
18091,Indiana,LaPorte,112141,14.0,21.7,70452,,,,,,left_only
18097,Indiana,Marion,971822,15.1,34.1,63450,,,,,,left_only
18099,Indiana,Marshall,46225,10.9,20.4,68041,,,,,,left_only
18101,Indiana,Martin,9854,16.4,13.2,65345,,,,,,left_only
18103,Indiana,Miami,35772,15.2,16.1,61130,,,,,,left_only
18109,Indiana,Morgan,72202,8.5,20.6,79088,,,,,,left_only
18111,Indiana,Newton,13859,13.5,13.7,68596,,,,,,left_only
18115,Indiana,Ohio,5993,8.9,19.0,67942,,,,,,left_only
18117,Indiana,Orange,19746,13.3,15.2,64758,,,,,,left_only
18119,Indiana,Owen,21434,11.9,17.0,59586,,,,,,left_only
18121,Indiana,Parke,16346,17.2,14.2,66776,,,,,,left_only
18125,Indiana,Pike,12187,12.2,15.7,66250,,,,,,left_only
18131,Indiana,Pulaski,12441,11.8,13.7,59956,,,,,,left_only
18133,Indiana,Putnam,37091,8.1,19.9,76182,,,,,,left_only
18135,Indiana,Randolph,24425,15.0,14.4,61121,,,,,,left_only
