state,county,2023_violent_crime,2023_property_crime,2024_violent_crime,2024_property_crime,metro_status
California,Colusa,22.0,164.0,20.0,96.0,Non-Metro
California,Del Norte,65.0,189.0,49.0,93.0,Non-Metro
California,Glenn,117.0,199.0,101.0,277.0,Non-Metro
California,Humboldt,201.0,551.0,202.0,568.0,Non-Metro
California,Inyo,139.0,103.0,96.0,57.0,Non-Metro
California,Lake,272.0,397.0,291.0,365.0,Non-Metro
California,Lassen,73.0,186.0,47.0,119.0,Non-Metro
California,Mariposa,99.0,230.0,94.0,177.0,Non-Metro
California,Modoc,38.0,25.0,21.0,27.0,Non-Metro
California,Mono,24.0,34.0,15.0,27.0,Non-Metro
California,Nevada,185.0,322.0,168.0,302.0,Non-Metro
California,Sierra,5.0,12.0,15.0,18.0,Non-Metro
California,Siskiyou,114.0,59.0,72.0,32.0,Non-Metro
California,Tehama,109.0,342.0,121.0,282.0,Non-Metro
California,Trinity,96.0,139.0,82.0,140.0,Non-Metro
California,Tuolumne,327.0,378.0,230.0,358.0,Non-Metro
Colorado,Adams,374.0,1720.0,440.0,2180.0,Metro
Colorado,Arapahoe,291.0,2234.0,332.0,1930.0,Metro
Colorado,Boulder,105.0,730.0,85.0,760.0,Metro
Colorado,Douglas,408.0,2393.0,426.0,2239.0,Metro
Colorado,El Paso,558.0,2827.0,600.0,2810.0,Metro
Colorado,Gilpin,4.0,38.0,9.0,51.0,Metro
Colorado,Jefferson,347.0,2533.0,430.0,2356.0,Metro
Colorado,Larimer,210.0,926.0,175.0,712.0,Metro
Colorado,Mesa,151.0,945.0,165.0,886.0,Metro
Colorado,Alamosa,17.0,136.0,11.0,115.0,Non-Metro
Colorado,Archuleta,16.0,11.0,18.0,20.0,Non-Metro
Colorado,Bent,10.0,81.0,11.0,90.0,Non-Metro
Colorado,Chaffee,10.0,67.0,4.0,65.0,Non-Metro
Colorado,Crowley,3.0,33.0,11.0,29.0,Non-Metro
Colorado,Delta,4.0,113.0,9.0,108.0,Non-Metro
Colorado,Dolores,6.0,34.0,8.0,17.0,Non-Metro
Colorado,Eagle,17.0,123.0,19.0,126.0,Non-Metro
Colorado,Garfield,69.0,203.0,92.0,170.0,Non-Metro
Colorado,Kiowa,0.0,13.0,0.0,9.0,Non-Metro
Colorado,Kit Carson,0.0,28.0,8.0,22.0,Non-Metro
Colorado,La Plata,6.0,39.0,28.0,130.0,Non-Metro
Colorado,Las Animas,8.0,54.0,15.0,50.0,Non-Metro
Colorado,Logan,15.0,55.0,17.0,45.0,Non-Metro
Colorado,Montezuma,23.0,124.0,29.0,99.0,Non-Metro
Colorado,Montrose,15.0,107.0,37.0,76.0,Non-Metro
Colorado,Morgan,21.0,152.0,1.0,62.0,Non-Metro
Colorado,Otero,5.0,47.0,5.0,41.0,Non-Metro
Colorado,Ouray,1.0,24.0,4.0,13.0,Non-Metro
