state,2024_metro_status,county,2024_violent_crime,2024_property_crime
Georgia,Non-Metro,Upson,6.0,32.0
Georgia,Non-Metro,Ware,41.0,146.0
Georgia,Non-Metro,White,11.0,102.0
Georgia,Non-Metro,Wilkes,36.0,93.0
Hawaii,Non-Metro,Kauai Police Department,215.0,1507.0
Idaho,Metro,Ada,216.0,538.0
Idaho,Metro,Boise,22.0,13.0
Idaho,Metro,Bonneville,139.0,523.0
Idaho,Metro,Canyon,167.0,193.0
Idaho,Metro,Franklin,6.0,9.0
Idaho,Metro,Jefferson,11.0,94.0
Idaho,Metro,Jerome,52.0,84.0
Idaho,Metro,Kootenai,118.0,459.0
Idaho,Metro,Nez Perce,9.0,33.0
Idaho,Metro,Twin Falls,40.0,68.0
Idaho,Non-Metro,Adams,7.0,42.0
Idaho,Non-Metro,Bear Lake,0.0,6.0
Idaho,Non-Metro,Benewah,34.0,60.0
Idaho,Non-Metro,Bingham,39.0,137.0
Idaho,Non-Metro,Blaine,12.0,21.0
Idaho,Non-Metro,Bonner,35.0,203.0
Idaho,Non-Metro,Boundary,26.0,23.0
Idaho,Non-Metro,Cassia,42.0,163.0
Idaho,Non-Metro,Clearwater,14.0,31.0
Idaho,Non-Metro,Custer,2.0,7.0
Idaho,Non-Metro,Elmore,16.0,46.0
Idaho,Non-Metro,Fremont,9.0,42.0
Idaho,Non-Metro,Gooding,19.0,23.0
Idaho,Non-Metro,Idaho,10.0,51.0
Idaho,Non-Metro,Latah,19.0,50.0
Idaho,Non-Metro,Lemhi,7.0,4.0
Idaho,Non-Metro,Lincoln,16.0,18.0
Idaho,Non-Metro,Madison,3.0,56.0
Idaho,Non-Metro,Oneida,30.0,19.0
Idaho,Non-Metro,Payette,27.0,53.0
Idaho,Non-Metro,Shoshone,32.0,57.0
Idaho,Non-Metro,Teton,9.0,33.0
Idaho,Non-Metro,Valley,18.0,55.0
Idaho,Non-Metro,Washington,4.0,8.0
Illinois,Metro,Bond,8.0,27.0
Illinois,Metro,Boone,32.0,106.0
Illinois,Metro,Calhoun,7.0,10.0
Illinois,Metro,Champaign,80.0,314.0
Illinois,Metro,Clinton,6.0,59.0
Illinois,Metro,Cook,601.0,1585.0
Illinois,Metro,DeKalb,34.0,94.0
Illinois,Metro,DuPage,53.0,340.0
Illinois,Metro,Ford,5.0,26.0
Illinois,Metro,Grundy,22.0,75.0
Illinois,Metro,Henry,14.0,64.0
Illinois,Metro,Jersey,15.0,67.0
Illinois,Metro,Kane,72.0,212.0
Illinois,Metro,Kankakee,83.0,132.0
Illinois,Metro,Kendall,36.0,135.0
Illinois,Metro,Macoupin,17.0,60.0
Illinois,Metro,Madison,100.0,665.0
Illinois,Metro,Marshall,0.0,52.0
Illinois,Metro,McHenry,33.0,181.0
Illinois,Metro,McLean,25.0,90.0
Illinois,Metro,Menard,1.0,20.0
Illinois,Metro,Monroe,3.0,6.0
Illinois,Metro,Peoria,153.0,526.0
Illinois,Metro,Piatt,8.0,59.0
Illinois,Metro,Rock Island,40.0,320.0
