fips_code,state,county,population,metro_status,poverty_pct,bachelors_pct,median_income,2023_violent_crime,2024_violent_crime,2023_property_crime,2024_property_crime,2023_unemployment_rate,2024_unemployment_rate,_merge
29051,,,,,,,,,,,,2.6,3.1,right_only
29053,,,,,,,,,,,,3.0,3.5,right_only
29055,,,,,,,,,,,,3.8,4.5,right_only
29059,,,,,,,,,,,,3.4,4.4,right_only
29063,,,,,,,,,,,,3.6,4.1,right_only
29067,,,,,,,,,,,,3.4,4.0,right_only
29073,,,,,,,,,,,,2.8,3.4,right_only
29075,,,,,,,,,,,,2.9,3.2,right_only
29081,,,,,,,,,,,,3.1,3.8,right_only
29087,,,,,,,,,,,,3.1,3.7,right_only
29093,,,,,,,,,,,,4.2,4.7,right_only
29103,,,,,,,,,,,,3.5,4.4,right_only
29115,,,,,,,,,,,,3.3,3.8,right_only
29121,,,,,,,,,,,,3.8,4.3,right_only
29123,,,,,,,,,,,,3.8,4.3,right_only
29125,,,,,,,,,,,,3.2,3.8,right_only
29127,,,,,,,,,,,,3.4,3.8,right_only
29129,,,,,,,,,,,,3.0,3.9,right_only
29131,,,,,,,,,,,,3.2,3.7,right_only
29135,,,,,,,,,,,,2.6,3.1,right_only
29141,,,,,,,,,,,,3.8,4.6,right_only
29149,,,,,,,,,,,,3.6,4.2,right_only
29155,,,,,,,,,,,,4.9,5.9,right_only
29169,,,,,,,,,,,,3.1,3.9,right_only
29171,,,,,,,,,,,,3.1,3.8,right_only
29179,,,,,,,,,,,,3.7,4.5,right_only
29189,,,,,,,,,,,,3.1,3.7,right_only
29199,,,,,,,,,,,,2.5,3.2,right_only
29201,,,,,,,,,,,,3.2,3.8,right_only
29203,,,,,,,,,,,,4.8,5.1,right_only
29205,,,,,,,,,,,,2.7,3.3,right_only
29211,,,,,,,,,,,,3.0,3.7,right_only
29219,,,,,,,,,,,,3.0,3.5,right_only
29221,,,,,,,,,,,,4.0,4.7,right_only
29227,,,,,,,,,,,,2.7,3.3,right_only
29510,,,,,,,,,,,,3.5,4.2,right_only
30005,,,,,,,,,,,,2.7,3.0,right_only
30017,,,,,,,,,,,,2.5,2.6,right_only
30019,,,,,,,,,,,,2.0,2.1,right_only
30023,,,,,,,,,,,,3.2,3.3,right_only
30025,,,,,,,,,,,,1.7,1.7,right_only
30033,,,,,,,,,,,,3.2,3.3,right_only
30059,,,,,,,,,,,,2.5,2.6,right_only
30093,,,,,,,,,,,,3.2,3.4,right_only
30109,,,,,,,,,,,,2.5,3.2,right_only
31003,,,,,,,,,,,,2.2,2.3,right_only
31005,,,,,,,,,,,,2.4,2.8,right_only
31007,,,,,,,,,,,,3.3,3.9,right_only
31009,,,,,,,,,,,,3.6,3.3,right_only
31011,,,,,,,,,,,,1.6,2.0,right_only
31013,,,,,,,,,,,,2.3,3.3,right_only
31015,,,,,,,,,,,,2.6,2.9,right_only
31017,,,,,,,,,,,,2.0,2.0,right_only
31021,,,,,,,,,,,,2.9,3.2,right_only
31023,,,,,,,,,,,,1.8,2.2,right_only
31029,,,,,,,,,,,,2.0,2.4,right_only
31031,,,,,,,,,,,,1.8,1.8,right_only
31035,,,,,,,,,,,,2.3,2.6,right_only
31039,,,,,,,,,,,,1.8,2.0,right_only
31047,,,,,,,,,,,,2.5,2.7,right_only
31049,,,,,,,,,,,,2.9,2.8,right_only
31053,,,,,,,,,,,,2.3,2.8,right_only
31057,,,,,,,,,,,,1.9,1.8,right_only
31059,,,,,,,,,,,,2.0,2.0,right_only
31061,,,,,,,,,,,,2.1,2.7,right_only
31063,,,,,,,,,,,,2.5,3.0,right_only
31067,,,,,,,,,,,,2.5,3.2,right_only
31069,,,,,,,,,,,,2.6,2.9,right_only
31071,,,,,,,,,,,,2.1,2.8,right_only
31075,,,,,,,,,,,,2.0,2.7,right_only
31077,,,,,,,,,,,,2.5,3.1,right_only
31081,,,,,,,,,,,,1.8,2.1,right_only
31083,,,,,,,,,,,,1.9,2.0,right_only
31085,,,,,,,,,,,,2.1,2.1,right_only
31087,,,,,,,,,,,,2.6,2.8,right_only
31089,,,,,,,,,,,,1.8,2.0,right_only
31091,,,,,,,,,,,,3.3,4.7,right_only
31093,,,,,,,,,,,,1.9,2.6,right_only
31097,,,,,,,,,,,,3.2,3.6,right_only
31099,,,,,,,,,,,,1.9,2.2,right_only
31103,,,,,,,,,,,,3.4,3.3,right_only
31105,,,,,,,,,,,,2.1,2.1,right_only
31107,,,,,,,,,,,,2.4,2.7,right_only
31111,,,,,,,,,,,,2.3,2.6,right_only
31113,,,,,,,,,,,,2.8,3.6,right_only
31115,,,,,,,,,,,,3.7,4.3,right_only
31117,,,,,,,,,,,,4.1,4.4,right_only
31121,,,,,,,,,,,,1.9,2.2,right_only
31125,,,,,,,,,,,,2.3,2.5,right_only
31127,,,,,,,,,,,,2.5,3.2,right_only
31129,,,,,,,,,,,,2.2,2.3,right_only
31133,,,,,,,,,,,,2.5,3.0,right_only
31135,,,,,,,,,,,,2.0,2.2,right_only
31137,,,,,,,,,,,,1.8,2.1,right_only
31141,,,,,,,,,,,,2.0,2.3,right_only
31149,,,,,,,,,,,,2.1,2.3,right_only
31157,,,,,,,,,,,,2.8,3.2,right_only
31161,,,,,,,,,,,,2.0,2.3,right_only
31163,,,,,,,,,,,,2.4,2.7,right_only
31165,,,,,,,,,,,,2.2,2.3,right_only
31173,,,,,,,,,,,,2.7,2.6,right_only
